name,en,ko,zh,it,es,fr,de,hi,jp,zh-cn,ja
question,Type the name of the Pokémon to guess it,추측할 포켓몬의 이름을 입력하세요,输入神奇宝贝的名字来猜它,Digita il nome del Pokémon per indovinarlo,Escribe el nombre del Pokémon para adivinarlo,Tapez le nom du Pokémon pour le deviner,"Geben Sie den Namen des Pokémon ein, um es zu erraten",इसका अनुमान लगाने के लिए पोकेमॉन का नाम टाइप करें,ポケモンの名前を入力して推測します,输入神奇宝贝的名字来猜它,ポケモンの名前を入力して推測します
not_guessing,"You are not currently guessing Pokémons, use the start command to begin!",현재 포켓몬을 추측하고 있지 않습니다. 시작 명령을 사용하여 시작하세요!,您目前不是在猜测神奇宝贝，请使用 start 命令开始！,"Al momento non stai indovinando i Pokémon, usa il comando start per iniziare!","Actualmente no estás adivinando Pokémons, ¡usa el comando de inicio para comenzar!","Vous n'êtes pas en train de deviner des Pokémons, utilisez la commande start pour commencer !","Sie erraten derzeit keine Pokémons, verwenden Sie den Startbefehl, um zu beginnen!","आप वर्तमान में पोकेमॉन का अनुमान नहीं लगा रहे हैं, शुरू करने के लिए स्टार्ट कमांड का उपयोग करें!",あなたは現在ポケモンを推測していません、開始するために開始コマンドを使用してください！,您目前不是在猜测神奇宝贝，请使用 start 命令开始！,あなたは現在ポケモンを推測していません、開始するために開始コマンドを使用してください！
hint,Here's a hint:,힌트는 다음과 같습니다.,这里有一个提示：,Ecco un suggerimento:,Aquí hay una pista:,Voici un indice:,Hier ist ein Hinweis:,यहाँ एक संकेत है:,ヒントは次のとおりです。,这里有一个提示：,ヒントは次のとおりです。
win_count,Win count,승리 횟수,获胜次数,Conteggio vittorie,Recuento de victorias,Nombre de victoires,Gewinn zählen,जीत की गिनती,勝ち数,获胜次数,勝ち数
only_admin,Only administrator can run this command,관리자만 이 명령을 실행할 수 있습니다.,只有管​​理员才能运行此命令,Solo l'amministratore può eseguire questo comando,Solo el administrador puede ejecutar este comando,Seul l'administrateur peut exécuter cette commande,Nur der Administrator kann diesen Befehl ausführen,केवल व्यवस्थापक ही इस आदेश को चला सकता है,このコマンドを実行できるのは管理者のみです,只有管​​理员才能运行此命令,このコマンドを実行できるのは管理者のみです
correct,You're correct!,당신이 맞습니다!,你是对的！,Hai ragione!,¡Estás en lo correcto!,Vous avez raison!,Du hast Recht!,तुम सही हो!,正解です！,你是对的！,正解です！
points,Points,포인트들,积分,Punti,Puntos,Points,Punkte,अंक,ポイント,积分,ポイント
server,Server,섬기는 사람,服务器,server,Servidor,Serveur,Server,सर्वर,サーバ,服务器,サーバ
global,Global,글로벌,全球的,Globale,Global,Mondial,Global,वैश्विक,グローバル,全球的,グローバル
ranks,You can check local and global ranks with /rank command.,/rank 명령어로 로컬 및 글로벌 순위를 확인할 수 있습니다.,您可以使用 /rank 命令检查本地和全局排名。,Puoi controllare i ranghi locali e globali con il comando /rank.,Puede verificar las clasificaciones locales y globales con el comando /rank.,Vous pouvez vérifier les classements locaux et globaux avec la commande /rank.,Sie können lokale und globale Ränge mit dem Befehl /rank überprüfen.,आप /रैंक कमांड के साथ स्थानीय और वैश्विक रैंक की जांच कर सकते हैं।,/rankコマンドでローカルランクとグローバルランクを確認できます。,您可以使用 /rank 命令检查本地和全局排名。,/rankコマンドでローカルランクとグローバルランクを確認できます。
start_error,The game is already started!,게임은 이미 시작되었습니다!,游戏已经开始了！,Il gioco è già iniziato!,¡El juego ya ha comenzado!,Le jeu est déjà lancé !,Das Spiel ist bereits gestartet!,खेल पहले ही शुरू हो चुका है!,ゲームはすでに開始されています！,游戏已经开始了！,ゲームはすでに開始されています！
stop_error,The game is not running on this channel,이 채널에서 게임이 실행되지 않습니다,游戏不在此频道上运行,Il gioco non è in esecuzione su questo canale,El juego no se está ejecutando en este canal.,Le jeu ne tourne pas sur cette chaîne,Das Spiel läuft nicht auf diesem Kanal,इस चैनल पर गेम नहीं चल रहा है,ゲームはこのチャンネルで実行されていません,游戏不在此频道上运行,ゲームはこのチャンネルで実行されていません
stop_ok,Guessing has been stopped! To resume the game use the start command,추측이 중지되었습니다! 게임을 재개하려면 시작 명령을 사용하십시오,猜测已停止！要恢复游戏，请使用 start 命令,Indovinare è stato fermato! Per riprendere il gioco usa il comando di avvio,¡Se han detenido las adivinanzas! Para reanudar el juego usa el comando de inicio,"Les devinettes ont été arrêtées! Pour reprendre le jeu, utilisez la commande start","Das Raten wurde gestoppt! Um das Spiel fortzusetzen, verwenden Sie den Startbefehl",अनुमान लगाना बंद कर दिया गया है! खेल को फिर से शुरू करने के लिए स्टार्ट कमांड का उपयोग करें,推測が停止しました！ゲームを再開するには、開始コマンドを使用します,猜测已停止！要恢复游戏，请使用 start 命令,推測が停止しました！ゲームを再開するには、開始コマンドを使用します
skip_cooldown,Command on cooldown,재사용 대기시간 명령,冷却命令,Comando in ricarica,Comando en tiempo de reutilización,Commande au temps de recharge,Befehl auf Abklingzeit,कूलडाउन पर कमांड,クールダウンのコマンド,冷却命令,クールダウンのコマンド
btn_cooldown,Button on cooldown,쿨다운 버튼,冷却按钮,Pulsante di ricarica,Botón en enfriamiento,Bouton sur le temps de recharge,Taste auf Abklingzeit,कूलडाउन पर बटन,クールダウンのボタン,冷却按钮,クールダウンのボタン
skip_error,Start playing with Wtp!start,Wtp!start로 게임을 시작하세요.,开始玩 Wtp!start,Inizia a giocare con Wtp!start,¡Empieza a jugar con Wtp!start,Commencez à jouer avec Wtp!start,Beginnen Sie mit Wtp!start zu spielen,Wtp के साथ खेलना शुरू करें! start,Wtp！startで遊び始めましょう,开始玩 Wtp!start,Wtp！startで遊び始めましょう
reset_ok,Local ranks reset succesful!,로컬 순위 재설정 성공!,本地行列重置成功！,I ranghi locali sono stati ripristinati con successo!,¡Restablecimiento de rangos locales exitoso!,Réinitialisation des classements locaux réussie !,Lokale Ränge erfolgreich zurückgesetzt!,स्थानीय रैंक रीसेट सफल!,ローカルランクのリセットに成功しました！,本地行列重置成功！,ローカルランクのリセットに成功しました！
patreon_error,You need to be a Patreon to use this command,이 명령을 사용하려면 Patreon이어야 합니다.,您需要成为 Patreon 才能使用此命令,Devi essere un Patreon per usare questo comando,Necesitas ser un Patreon para usar este comando,Vous devez être un Patreon pour utiliser cette commande,"Du musst ein Patreon sein, um diesen Befehl zu verwenden",इस आदेश का उपयोग करने के लिए आपको एक Patreon होने की आवश्यकता है,このコマンドを使用するには、Patreonである必要があります,您需要成为 Patreon 才能使用此命令,このコマンドを使用するには、Patreonである必要があります
server_rank,Server Rank,서버 순위,服务器等级,Classifica del server,Rango del servidor,Rang du serveur,Server-Rang,सर्वर रैंक,サーバーランク,服务器等级,サーバーランク
global_rank,Global Rank,세계 순위,全球排名,Classifica globale,Posición Mundial,rang global,Globaler Rang,वैश्विक रैंक,世界ランク,全球排名,世界ランク
generation_ok,Generations set!,세대 설정!,世代设定！,Generazioni impostate!,¡Conjunto de generaciones!,Générations définies!,Generationen eingestellt!,पीढ़ी सेट!,世代が設定されました！,世代设定！,世代が設定されました！
activation,ACTIVATION,활성화,激活,ATTIVAZIONE,ACTIVACIÓN,ACTIVATION,AKTIVIERUNG,सक्रियण,アクティベーション,激活,アクティベーション
whitelist,"This guild is whitelisted, so activation is not needed.",이 길드는 허용 목록에 있으므로 활성화가 필요하지 않습니다.,该公会已列入白名单，因此无需激活。,"Questa gilda è autorizzata, quindi non è necessaria l'attivazione.","Este gremio está en la lista blanca, por lo que no es necesario activarlo.","Cette guilde est sur liste blanche, donc l'activation n'est pas nécessaire.","Diese Gilde ist auf der Whitelist, daher ist keine Aktivierung erforderlich.","यह गिल्ड श्वेतसूची में है, इसलिए सक्रियण की आवश्यकता नहीं है।",このギルドはホワイトリストに登録されているため、アクティベーションは必要ありません。,该公会已列入白名单，因此无需激活。,このギルドはホワイトリストに登録されているため、アクティベーションは必要ありません。
free_bot,The bot is free for now! Please support us on Patreon!,봇은 현재 무료입니다! Patreon에서 우리를 지원하십시오!,该机器人现在是免费的！请在 Patreon 上支持我们！,Il bot per ora è gratuito! Sostienici su Patreon!,¡El bot es gratis por ahora! ¡Apóyanos en Patreon!,Le bot est gratuit pour le moment ! Merci de nous soutenir sur Patreon !,Der Bot ist vorerst kostenlos! Bitte unterstützt uns auf Patreon!,बॉट अभी के लिए मुफ़्त है! कृपया Patreon पर हमारा समर्थन करें!,ボットは今のところ無料です！ Patreonで私たちをサポートしてください！,该机器人现在是免费的！请在 Patreon 上支持我们！,ボットは今のところ無料です！ Patreonで私たちをサポートしてください！
trial_days,days left before trial period will end. To keep using the bot please subscribe to our patreon!,평가판 기간이 종료되기까지 남은 일수. 봇을 계속 사용하려면 패트리온을 구독하세요!,距离试用期结束还有几天。要继续使用该机器人，请订阅我们的 patreon！,"giorni rimanenti prima della fine del periodo di prova. Per continuare a utilizzare il bot, iscriviti al nostro patreon!","Quedan días antes de que finalice el período de prueba. Para seguir usando el bot, ¡suscríbete a nuestro patreon!","jours restants avant la fin de la période d'essai. Pour continuer à utiliser le bot, abonnez-vous à notre patreon!","verbleibende Tage bis zum Ende der Probezeit. Um den Bot weiterhin nutzen zu können, abonniere bitte unseren Patreon!",परीक्षण अवधि समाप्त होने से पहले शेष दिन समाप्त हो जाएंगे। बॉट का उपयोग करते रहने के लिए कृपया हमारे patreon की सदस्यता लें!,試用期間が終了するまでの残り日数。ボットを使い続けるには、patreonに登録してください。,距离试用期结束还有几天。要继续使用该机器人，请订阅我们的 patreon！,試用期間が終了するまでの残り日数。ボットを使い続けるには、patreonに登録してください。
activation_ok,the bot is activated with patreon subscription,봇은 Patreon 구독으로 활성화됩니다.,该机器人通过 patreon 订阅激活,il bot si attiva con l'abbonamento patreon,el bot se activa con la suscripcion de patreon,le bot est activé avec un abonnement patreon,Der Bot wird mit einem Patreon-Abonnement aktiviert,बॉट patreon सदस्यता के साथ सक्रिय है,ボットはpatreonサブスクリプションでアクティブ化されます,该机器人通过 patreon 订阅激活,ボットはpatreonサブスクリプションでアクティブ化されます
activation_error,the bot is not activated. To activate the bot please subscribe to our patreon!,봇이 활성화되지 않았습니다. 봇을 활성화하려면 패트리온을 구독하세요!,机器人未激活。要激活机器人，请订阅我们的 patreon!,il bot non è attivato. Per attivare il bot iscriviti al nostro patreon!,"el bot no está activado. Para activar el bot, ¡suscríbete a nuestro patreon!","le bot n'est pas activé. Pour activer le bot, abonnez-vous à notre patreon !","Der Bot ist nicht aktiviert. Um den Bot zu aktivieren, abonniere bitte unseren Patreon!",बॉट सक्रिय नहीं है। बॉट को सक्रिय करने के लिए कृपया हमारे संरक्षक की सदस्यता लें!,ボットはアクティブ化されていません。ボットをアクティブ化するには、patreonにサブスクライブしてください！,机器人未激活。要激活机器人，请订阅我们的 patreon!,ボットはアクティブ化されていません。ボットをアクティブ化するには、patreonにサブスクライブしてください！
instructions,"The patreon subscription have to be made by the owner of the server, otherwise the bot will not activate. Remember to connect from patreon to your discord account!",Patreon 구독은 서버 소유자가 만들어야 합니다. 그렇지 않으면 봇이 활성화되지 않습니다. Patreon에서 Discord 계정으로 연결하는 것을 잊지 마십시오!,patreon 订阅必须由服务器所有者进行，否则机器人将无法激活。记得从 patreon 连接到您的不和谐帐户！,"L'abbonamento a patreon deve essere effettuato dal proprietario del server, altrimenti il ​​bot non si attiverà. Ricordati di connetterti da patreon al tuo account discord!","La suscripción de patreon debe ser realizada por el propietario del servidor, de lo contrario, el bot no se activará. ¡Recuerda conectarte desde patreon a tu cuenta de discord!","L'abonnement patreon doit être fait par le propriétaire du serveur, sinon le bot ne s'activera pas. N'oubliez pas de vous connecter de patreon à votre compte discord !","Das Patreon-Abonnement muss vom Besitzer des Servers abgeschlossen werden, sonst wird der Bot nicht aktiviert. Denken Sie daran, sich von Patreon mit Ihrem Discord-Konto zu verbinden!","सर्वर के मालिक द्वारा patreon सदस्यता लेनी होगी, अन्यथा बॉट सक्रिय नहीं होगा। patreon से अपने कलह खाते से जुड़ना याद रखें!",patreonサブスクリプションは、サーバーの所有者が作成する必要があります。そうしないと、ボットがアクティブ化されません。 PatreonからDiscordアカウントに接続することを忘れないでください！,patreon 订阅必须由服务器所有者进行，否则机器人将无法激活。记得从 patreon 连接到您的不和谐帐户！,patreonサブスクリプションは、サーバーの所有者が作成する必要があります。そうしないと、ボットがアクティブ化されません。 PatreonからDiscordアカウントに接続することを忘れないでください！
expired,Trial period has expired! To gain full access to the bot please activate the bot using this link,평가판 기간이 만료되었습니다! 봇에 대한 전체 액세스 권한을 얻으려면 이 링크를 사용하여 봇을 활성화하세요.,试用期已过！要获得对机器人的完全访问权限，请使用此链接激活机器人,"Il periodo di prova è scaduto! Per ottenere l'accesso completo al bot, attiva il bot utilizzando questo link","¡El período de prueba ha expirado! Para obtener acceso completo al bot, active el bot usando este enlace","La période d'essai a expiré ! Pour obtenir un accès complet au bot, veuillez activer le bot en utilisant ce lien","Probezeit abgelaufen! Um vollen Zugriff auf den Bot zu erhalten, aktivieren Sie den Bot bitte über diesen Link",परीक्षण अवधि समाप्त हो गई है! बॉट तक पूर्ण पहुंच प्राप्त करने के लिए कृपया इस लिंक का उपयोग करके बॉट को सक्रिय करें,試用期間が終了しました！ボットへのフルアクセスを取得するには、このリンクを使用してボットをアクティブ化してください,试用期已过！要获得对机器人的完全访问权限，请使用此链接激活机器人,試用期間が終了しました！ボットへのフルアクセスを取得するには、このリンクを使用してボットをアクティブ化してください
lang_ok,Language set!,언어 설정!,语言设置！,Lingua impostata!,¡Conjunto de idiomas!,Langue définie!,Sprache eingestellt!,भाषा सेट!,言語セット！,语言设置！,言語セット！
skip_btn,Skip,건너뛰다,跳过,Saltare,Saltear,Sauter,Überspringen,छोडना,スキップ,跳过,スキップ
lrank_btn,Local Rank,지역 순위,本地排名,Grado locale,Rango local,Classement local,Lokaler Rang,स्थानीय रैंक,ローカルランク,本地排名,ローカルランク
grank_btn,Global Rank,세계 순위,全球排名,Classifica globale,Posición Mundial,rang global,Globaler Rang,वैश्विक रैंक,世界ランク,全球排名,世界ランク
hint_btn,Hint,힌트,暗示,Suggerimento,Insinuación,Indice,Hinweis,संकेत देना,ヒント,暗示,ヒント
generation_select,Choose the pokemon generations...,포켓몬 세대를 선택하세요...,选择口袋妖怪世代...,Scegli le generazioni di pokemon...,Elige las generaciones de pokemon...,Choisissez les générations de Pokémon...,Wählen Sie die Pokemon-Generationen ...,पोकेमॉन पीढ़ी चुनें...,ポケモン世代を選択してください...,选择口袋妖怪世代...,ポケモン世代を選択してください...
lang_btn,Choose the language...,언어 선택...,选择语言...,Scegli la lingua...,Elige el idioma...,Choisissez la langue...,Wählen Sie die Sprache...,भाषा चुनें...,言語を選択してください...,选择语言...,言語を選択してください...
it_is,It's,그것은,它是,È,Es,C'est,Es ist,यह है,これは,,
rank_position,World rank,세계 순위,世界排名,Classifica mondiale,Categoría mundial,Classement mondial,Weltrang,विश्व रैंक,世界ランク,,
